CompName,NewEhullLst,EWaldSumLst,EFormLst,RDiffLst,RDiffStdLst,RDiffNaLst,EleNegStdLst,XDiffLst,AnionXStdLst,XWithNaLst,ChgDiffLst,ChgStdLst,AnionChgStdLst,NNaLst,RRatioNaLst
Na9Mg10.5Ge1.5S18O72,-9.214142081070632,-58.559175316520424,-1.8347218551801743,0.18999999999999995,0.054621159584726534,-0.32375,0.20123585110162406,0.6999999999999997,0.0,0.4674999999999999,2.0,0.5749595745760689,0.0,1.5,0.6825980392156863
Na9Hf1.5Mg10.5S18O72,-30.85234703602785,-58.464770293559816,-1.913370576126122,0.010000000000000009,0.0028747978728803475,-0.30125,0.0028747978728803475,0.010000000000000009,0.0,0.37875000000000003,2.0,0.5749595745760689,0.0,1.5,0.704656862745098
Na9Mg11Nb(SO4)18,-14.842306009187748,-58.4976493780329,-1.8795428760510473,0.07999999999999996,0.022110831935702655,-0.30666666666666664,0.08015176576692218,0.29000000000000004,0.0,0.4041666666666667,3.0,0.82915619758885,0.0,1.5,0.6993464052287582
Na9Mg11Ta(SO4)18,-17.422300378557424,-58.61454259513675,-1.888877115915912,0.07999999999999996,0.022110831935702655,-0.30666666666666664,0.052513225847293815,0.18999999999999995,0.0,0.39583333333333337,3.0,0.82915619758885,0.0,1.5,0.6993464052287582
Na9Zr1.5Zn10.5S18O72,-3.261125189177317,-58.266668864928754,-1.6064565945945952,0.020000000000000018,0.005749595745760695,-0.2825000000000001,0.09199353193217098,0.31999999999999984,0.0,0.6799999999999998,2.0,0.5749595745760689,0.0,1.5,0.7230392156862744
Na9Hf1.5Zn10.5S18O72,-9.640539603595956,-58.239036572207574,-1.60616014189189,0.030000000000000027,0.008624393618641042,-0.28375000000000006,0.10061792555081202,0.34999999999999987,0.0,0.6762499999999999,2.0,0.5749595745760689,0.0,1.5,0.7218137254901961
Na3Mg2Sc2PS5O24,-16.146325709731137,-57.12477083365252,-2.111560875675677,0.025000000000000022,0.012500000000000011,-0.2875000000000001,0.025000000000000022,0.050000000000000044,0.1453444185374864,0.4049999999999999,1.0,0.5,0.372677996249965,1.5,0.7181372549019607
Na9Mg6Sc6Si1.5S16.5O72,-6.390499236588745,-57.22916224280351,-2.0765133424549553,0.025000000000000022,0.012500000000000011,-0.2875000000000001,0.025000000000000022,0.050000000000000044,0.16000000000000003,0.4049999999999999,1.0,0.5,0.47058823529411764,1.5,0.7181372549019607
Na3Mg2In2PS5O24,-5.103636520565624,-56.93176789947702,-1.8271955216216262,0.08000000000000007,0.040000000000000036,-0.26,0.235,0.47,0.1453444185374864,0.6149999999999999,1.0,0.5,0.372677996249965,1.5,0.7450980392156863
Na9Mg9Zr3Si1.5S16.5O72,-9.194879388581533,-57.41743356720603,-2.00275163918919,0.0,1.1102230246251565e-16,-0.29999999999999993,0.008660254037844395,0.020000000000000018,0.16000000000000003,0.3849999999999999,2.0,0.8660254037844386,0.47058823529411764,1.5,0.7058823529411765
Na3Mg3SnPS5O24,-9.331326920274844,-57.28317712457945,-1.888188481531532,0.030000000000000027,0.012990381056766592,-0.3075,0.2814582562299425,0.6499999999999999,0.1453444185374864,0.5425000000000001,2.0,0.8660254037844386,0.372677996249965,1.5,0.6985294117647058
